Table C.2 • Average CO2 emissions/kilometre,,,,,,,,,,,,,
"(g CO2/km, WLTP)",,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina, 196,,, 195,, 188, 189, 185, 186, 182, 181, 185, 187
Australia, 244,,, 231,, 225, 220, 214,, 195, 193, 189, 188
Austria,,,,,,,,,, 143, 138, 135, 136
Belgium,,,,,,,,,, 137, 134, 132, 133
Brazil, 197,,, 198,, 203, 199, 189, 191, 186, 184, 179, 179
Bulgaria,,,,,,,,,,,, 142, 140
Canada, 235,,, 228,, 221, 217, 210, 205, 203, 204, 206, 206
Chile, 201,,, 195,, 209, 205, 201, 196, 189, 191, 188, 189
China, 201,,, 204,, 202, 202, 199, 197, 190, 186, 178, 175
Croatia,,,,,,,,,,,, 126, 126
Cyprus,,,,,,,,,,,, 136, 134
Czech Republic,,,,,,,,,,,, 136, 140
Denmark,,,,,,,,,, 128, 124, 123, 124
Egypt, 191,,, 191,,,, 193, 194, 185, 188, 184, 187
Estonia,,,,,,,,,,,, 152, 150
Finland,,,,,,,,,, 145, 141, 137, 135
France, 158,,, 147,, 145, 142, 137, 132, 129, 126, 125, 126
Germany, 178,,, 174,, 169, 162, 156, 150, 145, 141, 139, 140
Greece,,,,,,,,,, 122, 119, 119, 122
Hungary,,,,,,,,,,,, 145, 143
Iceland,,,,,,,,,,,, 134, 129
India, 159,,, 150,, 154, 150, 146, 147, 142, 139, 136, 135
Indonesia, 202,,, 204,, 205, 207, 197, 193, 185, 190, 186, 184
Ireland,,,,,,,,,, 133, 131, 128, 127
Italy, 153,,, 152,, 153, 143, 140, 135, 131, 128, 125, 124
Japan, 179,,, 163,, 163, 159, 147, 143, 136, 143, 144, 144
Korea, 190,,, 181,, 169,, 148, 148, 151, 150, 146, 147
Latvia,,,,,,,,,,,, 144, 143
Lithuania,,,,,,,,,,,, 143, 143
Luxembourg,,,,,,,,,, 143, 141, 139, 140
Macedonia,,,,,,,, 155, 151,,,,
Malaysia, 190,,, 195,, 185, 186, 182, 181, 181, 176, 164, 164
Malta,,,,,,,,,,,, 126, 124
Mexico, 211,,, 218,, 221, 217, 203,, 177, 174, 176, 175
Netherlands,,,,,,,,,, 128, 122, 127, 127
Norway,,,,,,,,,, 129, 121,,
Peru,,,,,,,, 192, 191, 190, 191, 186, 187
Philippines,,,,,,,, 210, 211, 205, 203, 193, 196
Poland,,,,,,,,,,,, 143, 143
Portugal,,,,,,,,,, 122, 119, 118, 119
Romania,,,,,,,,,,,, 138, 135
Russian Federation, 219,,, 210,, 209, 205, 201, 200, 198, 197, 194, 192
Slovakia,,,,,,,,,,,, 142, 142
Slovenia,,,,,,,,,,,, 136, 136
South Africa, 205,,, 202,, 201, 193, 186, 182, 180, 178, 175, 176
Spain,,,,,,,,,, 133, 129, 127, 130
Sweden,,,,,,,,,, 148, 143, 136, 139
Switzerland,,,,,,,,,, 159, 152,,
Thailand, 225,,, 218,, 208, 208, 194, 189, 196, 193, 185, 180
Turkey, 189,,, 172,, 160, 155, 147, 141, 136, 135, 131, 131
Ukraine, 204,,, 193,, 191, 186, 185, 184, 176, 171, 164, 162
United Kingdom, 176,,, 167,, 161, 155, 149, 145, 141, 138, 136, 137
United States, 258,,, 238,, 221, 217, 211, 208, 203, 200, 199, 198
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
