Table C.3 • Average fuel consumption,,,,,,,,,,,,,
"(Lge/100 km, WLTP)",,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,8.3,,,8.3,,8,8,7.9,7.9,7.8,7.7,7.9,7.9
Australia,10.5,,,9.8,,9.5,9.3,9,,8.2,8.1,8,7.9
Austria,,,,,,,,,,6,5.7,5.6,5.7
Belgium,,,,,,,,,,5.7,5.6,5.5,5.6
Brazil,8.5,,,8.5,,8.7,8.6,8.1,8.2,7.9,7.9,7.6,7.6
Bulgaria,,,,,,,,,,,,5.9,5.9
Canada,10.1,,,9.8,,9.5,9.4,9.1,8.8,8.8,8.8,8.9,8.9
Chile,8.5,,,8.3,,8.9,8.7,8.5,8.3,8,8.1,8,8
China,8.7,,,8.8,,8.7,8.7,8.6,8.5,8.2,8,7.7,7.6
Croatia,,,,,,,,,,,,5.2,5.2
Cyprus,,,,,,,,,,,,5.7,5.6
Czech Republic,,,,,,,,,,,,5.7,5.9
Denmark,,,,,,,,,,5.4,5.3,5.2,5.2
Egypt,8.1,,,8.1,,,,8.2,8.2,7.9,8,7.9,8
Estonia,,,,,,,,,,,,6.4,6.4
Finland,,,,,,,,,,6.1,5.9,5.8,5.8
France,6.5,,,6,,6,5.8,5.6,5.4,5.3,5.2,5.2,5.3
Germany,7.4,,,7.3,,7.1,6.8,6.5,6.3,6.1,5.9,5.8,5.9
Greece,,,,,,,,,,5.1,4.9,4.9,5.1
Hungary,,,,,,,,,,,,6.1,6.1
Iceland,,,,,,,,,,,,5.7,5.6
India,6.8,,,6.3,,6.5,6.3,6.1,6.2,5.9,5.8,5.7,5.6
Indonesia,8.6,,,8.7,,8.7,8.9,8.5,8.3,7.9,8.2,8,7.9
Ireland,,,,,,,,,,5.4,5.4,5.3,5.2
Italy,6.3,,,6.4,,6.4,6,5.9,5.7,5.6,5.4,5.2,5.2
Japan,7.7,,,7,,7,6.8,6.4,6.1,5.8,6.2,6.2,6.2
Korea,8.1,,,7.8,,7.3,,6.3,6.3,6.4,6.3,6.2,6.3
Latvia,,,,,,,,,,,,6,6
Lithuania,,,,,,,,,,,,6,6
Luxembourg,,,,,,,,,,5.9,5.8,5.8,5.8
Macedonia,,,,,,,,6.4,6.2,,,,
Malaysia,8.2,,,8.3,,7.9,8,7.8,7.7,7.8,7.6,7.1,7.1
Malta,,,,,,,,,,,,5.3,5.2
Mexico,9.1,,,9.4,,9.5,9.4,8.7,,7.7,7.5,7.6,7.6
Netherlands,,,,,,,,,,5.4,5.2,5.5,5.4
Norway,,,,,,,,,,5.9,5.8,,
Peru,,,,,,,,8.3,8.2,8.2,8.2,8,8.1
Philippines,,,,,,,,9.1,9.1,8.8,8.7,8.3,8.4
Poland,,,,,,,,,,,,6.1,6
Portugal,,,,,,,,,,5,4.9,4.9,4.9
Romania,,,,,,,,,,,,5.7,5.6
Russian Federation,9.3,,,9,,9,8.8,8.6,8.6,8.5,8.4,8.3,8.2
Slovakia,,,,,,,,,,,,5.9,6
Slovenia,,,,,,,,,,,,5.7,5.7
South Africa,8.8,,,8.6,,8.6,8.2,7.9,7.7,7.6,7.5,7.4,7.4
Spain,,,,,,,,,,5.5,5.3,5.3,5.4
Sweden,,,,,,,,,,6.2,6,5.7,5.9
Switzerland,,,,,,,,,,6.7,6.4,,
Thailand,9.2,,,9,,8.7,8.7,8.1,7.9,8.1,8,7.8,7.5
Turkey,8.2,,,7.2,,6.6,6.4,6,5.8,5.6,5.6,5.4,5.4
Ukraine,8.8,,,8.3,,8.2,8,7.9,7.8,7.5,7.2,7,6.8
United Kingdom,7.4,,,7,,6.7,6.5,6.2,6,5.9,5.7,5.7,5.8
United States,11.1,,,10.2,,9.5,9.4,9.1,9,8.8,8.6,8.6,8.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
